WNBA 2025 Draft Prospect Data Info and Stats are Stopped April 14th (WNBA Draft Day)(Like Age),,,,,,,,,,,,,,,
Player Name,College/Country,Height,Position,GP,MP,PPG,APG,RPG,SPG,BPG,FG%,3-FG%,FT%,National Champion?,Overall Points
Diamond Johnson,Norfolk State = 1 Point,5'4,Guard,35,33.9,18.9,4.1,6.1,3.6,0.2,47%,35.2%,83.1%,No,19 Points
Emma Cechova,Czech Republic = 0.5 Point,6'4,Forward,6,21.8,9.8,1.2,6.3,0.8,0.8,58.5%,0%,61.1%,No,null
Hailey Van Lith,TCU = 1 Point,5'9,Guard,38,35.3,17.9,5.4,4.6,1.2,0.6,45.2%,33.8%,82.7%,No,28 Points
Madison Scott,Ole Miss= 1 Point,6'2,Guard,33,29.5,11.8,3.7,5.1,1,0.9,46.6%,23.5%,73.7%,No,12 Points
Makayla Timpson,Florida State= 1 Point,6'2,Forward,33,30.4,17.5,1,10.6,1.8,3.1,54.3%,25%,76%,No,17 Points
Jordan Hobbs,Michigan= 1 Point,6'3,Guard,34,31.3,13.6,2.6,4.8,0.7,0.2,42.9%,33.9%,81.6%,No,0 Points
Adja Kane,France= 0.5 Point,6'3,Forward,7,15.5,5.4,1,3.6,0.6,0.4,39.5%,0%,50%,No,null
Aaliyah Nye,Alabama= 1 Point,6'0,Guard/Forward,33,33.4,15.2,1.4,2.3,1.1,0.3,45.4%,45.5%,83%,No,3 Points
Aubrey Griffin,UCONN= 3 Points,6'1,Forward,16,11.3,4.4,0.9,3.4,0.5,0.4,59.5%,0%,83.3%,Yes,3 Points
Bree Hall,South Carolina= 3 Points,6'1,Guard,39,23.5,6.3,1,3,0.6,0.2,38.2%,38.3%,66.7%,Yes(2x),6 Points
Ugonne Onyiah,California= 1 Point,6'3,Forward,34,22.4,12.4,0.6,7.6,0.5,1.3,60.3%,0%,67%,No,0 Points
Jerkaila Jordan,Mississippi State= 1 Point,5'10,Guard,34,30.4,16,1.9,5.8,2.1,0.7,41.3%,27.7%,70.7%,No,16 Points
Saniya Rivers,NC State= 1 Point,6'1,Guard,35,34.1,11.9,3.8,6.6,1.6,1.3,41.9%,27.2%,67.4%,Yes,15 Points
Shyanne Sellers,Maryland= 1 Point,6'2,Guard,31,29.9,14.4,4.1,3.8,0.9,0.2,46.2%,40.8%,86.8%,No,19 Points
Dalayah Daniels,Washington= 1 Point,6'3,Forward,33,29.3,12.8,2,7.2,1.5,1.5,57.5%,25%,69.7%,No,0 Points
Liatu King,Notre Dame= 2 Points,6'0,Guard,33,29.8,11.5,1.6,10.4,2,0.9,56.3%,0%,50%,No,7 Points
Anastasiia Olairi Kosu,Russia= 0.5 Point,6'1,Forward,0,0,0,0,0,0,0,0,0,0,No,null
Talia von Oelhoffen,USC= 2 Points,5'11,Guard,34,23.9,5.9,3.3,2.5,1.3,0.5,36.2%,27.6%,80.6%,No,8 Points
Alyssa Ustby,North Carolina= 1 Points,6'2,Guard,33,29.9,10.9,2.8,9.5,1.2,1,45.6%,34%,55%,No,15 Points
Deasia Merrill,TCU= 1 Point,6'1,Forward,25,6.8,3.9,0.2,2.6,0.1,0.3,65.6%,0%,72%,No,0 Points
Gianna Kneepkens,Utah= 1 Point,6'0,Guard,31,30,19.3,3,5,1,0.3,50.4%,44.8%,89%,No,18 Points
Taylen Collins,Auburn= 1 Point,6'1,Forward,28,31.6,7.6,2,5.1,1.2,0.7,40.8%,0%,57.1%,No,1 Point
Lea Bartelme,Slovenia= 0.5 Point,5'9,Guard,7,24.5,11,5,6,1,0.1,48.3%,41.2%,92.3%,No,null
Georgia Amoore,Kentucky= 1 Point,5'6,Guard,31,36.7,19.6,6.9,2.3,1,0.4,42.3%,33.6%,83.7%,No,26 Points
Paige Bueckers,UCONN= 3 Points,6'0,Guard,38,30.2,19.9,4.6,4.4,2.1,0.8,53.4%,41.9%,88.9%,Yes,121 Points
Te-Hina Paopao,South Carolina= 3 Points,5'9,Guard,39,25.1,9.4,2.8,2.7,1.1,0.3,44.4%,37%,73.7%,Yes,15 Points
Sarah Ashlee Barker,Alabama= 1 Point,6'0,Guard,28,31.6,18.2,3.9,6.3,2,0.8,51.4%,37.5%,70.9%,No,9 Points
JJ Quinerly,West Virginia= 1 Point,5'8,Guard,32,31.5,20.4,3.2,3.1,3,0.3,44.3%,31.4%,82.9%,No,27 Points
Aziaha James,NC State= 1 Point,5'10,Guard,35,31.2,17.9,2.6,4.9,1.1,0.3,44.5%,33.3%,75%,No,9 Points
Yvonne Ejim,Gonzaga= 1 Point,6'0,Forward,35,31.3,20.7,2.5,9.3,1.3,1,53.1%,25.5%,78.4%,No,45 Points
Taylor Thierry,Ohio State= 1 Point,6'1,Forward,33,31.2,10.2,1.2,5.2,2.3,0.5,56.3%,46.4%,69.7%,No,1 Points
Sania Feagin,South Carolina= 3 Points,6'3,Forward,39,19.8,8.1,1.3,4.5,0.7,1.5,60.1%,33.3%,79.7%,Yes(2x),7 Points
Juste Joctye,Lithuania= 0.5 Point,6'1,Forward,6,31.1,16,5.2,4.5,0.7,0.7,41.3%,33.3%,85.7%,No,null
Madison Hayes,NC State= 1 Point,6'0,Guard,35,32.1,10.9,0.9,7.1,0.7,0.6,45.6%,41.3%,81.9%,No,2 Points
Dazia Lawrence,Kentucky= 1 Point,5'8,Guard,31,33.3,12.9,2,2.4,0.8,0.2,46.2%,39%,75.9%,No,8 Points
Georgia Woolley,Syracuse= 1 Point,6'0,Guard,29,32.9,16,3.6,4,1.6,0.7,36.3%,34.1%,85.5%,No,8 Points
Sedona Prince,TCU= 1 Point,6'7,Center,37,32.6,17.2,2.4,9.4,0.9,3,58.3%,20%,72.8%,No,5 Points
Kennedy Todd-Williams,Mississippi= 1 Point,6'0,Guard,33,30.2,11.4,2.6,5.4,1.3,0.8,37.5%,28.6%,80.9%,No,3 Points
Deja Kelly,Oregon= 1 Point,5'8,Guard,32,31.8,12.2,3.3,4.3,1.5,0.1,38.6%,23.8%,71.4%,No,13 Points
Sonia Citron,Notre Dame= 2 Points,6'1,Guard,32,33.9,14.1,2.7,5.4,1.9,0.9,48.4%,37.2%,89%,No,18 Points
Aneesah Morrow,LSU= 2 Points,6'1,Forward,36,33.5,18.7,1.6,13.5,2.5,0.6,49%,28.9%,73.4%,No,58 Points
Maddy Westbeld,Notre Dame=2 Points,6'3,Forward,21,22.6,7.6,0.9,2.8,1,1,47.2%,30.8%,76.9%,No,15 Points
Madison Conner,TCU= 1 Point,5'11,Guard,38,32.8,14.4,3.6,4,0.9,0.2,44.6%,44.9%,81.9%,No,4 Points
Kaitlyn Chen,UCONN= 3 Points,5'9,Guard,40,23.4,6.9,3.4,1.8,1.2,0,51.4%,35.4%,84.2%,Yes,22 Points
Dominique Malonga,France= 0.5 Point,6'6,Forward/Center,2,17,8.5,1.5,6.5,1,2,53.3%,50%,0%,No,null
Ajsa Sivka,Slovenia= 0.5 Point,6'4,Forward,7,27.5,9.9,2.9,7.4,0.9,0.6,41.8%,34.5%,60%,No,null
Aicha Coulibaly,Texas A&M= 1 Point,6'0,Guard,19,28.4,12.8,2.1,5,0.8,1.1,47.9%,21.2%,67.1%,No,6 Points
Megan McConnell,Duquesne= 1 Point,5'7,Guard,34,36.8,18.4,5,7.2,4.1,0.3,46.9%,33%,62.5%,No,18 Points
Taylor Jones,Texas= 2 Points,6'4,Forward,38,21.8,11.9,0.4,6.9,0.8,1.9,58.3%,0%,77.4%,No,5 Points
Rayah Marshall,USC= 2 Points,6'4,Center/Forward,33,24.5,7.9,2.4,8.4,1.2,2.1,48%,50%,75.4%,No,7 Points
Annika Soltau,Germany= 0.5 Point,6'4,Forward,6,17.7,13.8,1,4.5,0.8,1.8,43.9%,21.1%,87.5%,No,null
Marine Dursus,France= 0.5 Point,5'10,Guard,7,20.9,12.1,1.4,3.7,1.6,0,54.7%,52.2%,83.3%,No,null
Kiki Iriafen,USC= 2 Points,6'3,Forward,35,30.3,18,1.8,8.4,0.9,0.6,49%,28.6%,81.1%,No,27 Points
Zaay Green,Alabama= 1 Point,6'2,Guard,33,31.6,15.7,4.5,5,1,0.7,46.7%,36.1%,65.4%,No,6 Points
Serena Sundell,Kansas State= 1 Point,6'1,Guard,36,33.2,14.1,7.3,4.4,1.1,0.9,50.1%,32%,78.7%,No,16 Points
Lucy Olsen,Iowa= 1 Point,5'10,Guard,32,34,17.9,5.1,3.6,1.3,0.3,43.6%,36%,74.4%,No,16 Points
Aaronette Vonleh,Baylor= 3 Points,6'3,Center,36,24.6,14.9,0.7,5.8,0.8,0.8,58.5%,14.3%,65.5%,No,13 Points
Harmoni Turner,Harvard= 1 Point,5'10,Guard,29,32.7,22.5,3.4,5.4,2.8,0.3,43.5%,35.6%,81.2%,No,27 Points
